,artist,album,release_date,song,is_title,album_type,track,lyricist,composer,arranger,BPM,tonality,camelot,time,lyric
0,(여자)아이들,I am,2018-05-02,LATATA,True,M 1,1,소연((여자)아이들),"소연((여자)아이들),빅싼초(Yummy Tone)","소연((여자)아이들),빅싼초(Yummy Tone)",98.0,Am,8A,,기나긴 너와 이 밤을 너와 이렇게 너와 기다린 너와 시간을 너와 이렇게 너와 어둠 속 red light 시선은 left right 불 위를 걷나 시작의 점화 가까이 온다 누가 뭐 겁나 uh oh 어디까지 더 깊이 빠져들지 중독된 향기까지 그렇게 뒤섞여버리지 그래 더 더 불태워 버려지게 내일은 우린 없는 거야 너 i love ya 널 위한 노래를 해 깊게 더 빠지게 lata i love ya 널 위한 춤을 춰 내게 널 갇히게 lata i love ya latata latata latata latata latata latata latata latata 날 위해 불러줘 평생 널 못 잊게 lata i love ya i love ya everyday every night latata i love ya everyday every night latata don't be lazy 다가와 baby 시간은 너무 짧고 이건 아직 basic 좀 더 깊은 곳으로 더 들어가 나를 머금고 취해도 돼 중요치 않아 내일이 아주 화려한 이 춤은 라따따 뜨겁게 불 태울거 야 다다다 뭐 어려워 다 널 부러워해 좋아 이 밤을 불태워 muah muah muah uh oh 어디까지 더 그리 나빠질지 이 밤은 아침까지 그렇게 더 미쳐버리지 그래 더 더 불태워 버려지게 내일은 우린 없는 거야 너 i love ya 널 위한 노래를 해 깊게 더 빠지게 lata i love ya 널 위한 춤을 춰 내게 널 갇히게 lata i love ya latata latata latata latata latata latata latata latata 날 위해 불러줘 평생 널 못 잊게 lata i love ya i love ya everyday every night latata i love ya everyday every night latata ​ 기나긴 너와 이 밤을 너와 이렇게 너와 기다린 너와 시간을 너와 이렇게 너와 어둠 속 red light 시선은 left right 불 위를 걷나 시작의 점화 가까이 온다 누가 뭐 겁나 i love ya everyday every night latata i love ya everyday every night latata
1,(여자)아이들,I am,2018-05-02,달라,False,M 1,2,"Le'mon(153/Joombas),소연((여자)아이들)","윤종성(MonoTree),Le'mon(153/Joombas)",윤종성(MonoTree),151.0,AbM,4B,,knock knock 들어간다 soyeon이 머리 위에 spotlight 저기 잘난척하던 걸리버들과는 전혀 달라 뻔한 걸 뻔뻔하게 하는 멍청이들 덕에 뻥뻥 이 몸이 뜨겠어 오타쿠 독서 벌레 identity 아무도 따라 할 수 없어 남자들의 관심사 저 여자들은 blah blah blah role model은 아인슈타인 창의력에 빛이 나 남다른 색 억만 dollars를 내도 내 시간을 사긴 부족해 못 넘봐 태생이 너와 다른 애 baby 너와 나는 너무 달라 나를 원한다면 배워 manners 아주 뻔한 love 당연한 rules i'm not your girlfriend (i'm not your girlfriend) baby 너와 나는 너무 달라 나를 원한다면 붙어 follow 흔치 않은 꿈 특별한 luck i'm not your girlfriend (i'm not your girlfriend) oh yeah 달라 달라 나는 남달라 oh yeah 달라 달라 나는 남달라 if you want me if you if you want me if you if you want me bring it to me 억만 dollars if you want me if you if you want me if you if you want me bring it to me 억만 dollars 그럴듯한 말들은 no thanks (no thanks) 하나도 안 설레서 미안해 (미안해) 너 같은 남자들은 넘쳤어 여기저기 맞아 거기 어딜 가든 결국 love me baby 너와 나는 너무 달라 나를 원한다면 배워 manners 아주 뻔한 love 당연한 rules i'm not your girlfriend (i'm not your girlfriend) baby 너와 나는 너무 달라 나를 원한다면 붙어 follow 흔치 않은 꿈 특별한 luck i'm not your girlfriend (i'm not your girlfriend) oh yeah 달라 달라 나는 남달라 oh yeah 달라 달라 나는 남달라 if you want me if you if you want me if you if you want me bring it to me 억만 dollars if you want me if you if you want me if you if you want me bring it to me 억만 dollars 난 나쁜 게 아냐 솔직하게 말해 하고 싶은 대로 하는 게 뭐 어때 멋대로 생각하지 마 (oh oh) 마음대로 날 대하지 마 (oh oh) 난 나쁜 게 아냐 솔직하게 말해 하고 싶은 대로 하는 게 뭐 어때 멋대로 생각하지 마 (oh oh) 마음대로 날 대하지 마 (oh oh) oh yeah 달라 달라 나는 남달라 oh yeah 달라 달라 나는 남달라 if you want me if you if you want me if you if you want me bring it to me 억만 dollars
2,(여자)아이들,I am,2018-05-02,MAZE,False,M 1,3,"손영진,Ferdy(Mospick),소연((여자)아이들)","손영진,Ferdy(Mospick)","손영진,Ferdy(Mospick)",100.0,Fm,4A,,너의 깊은 그 눈빛이 날 데려가 저 멀리 누군가 마음에 들 때 더 신비롭게 궁금하게 아찔한 네 목소리가 내 마음을 훔치는 걸 정신없이 어지러워 maybe it's a maze 찾을 수 없는 이 미로 속의 출구 더 깊은 곳의 부름 날 끌어당기는 듯한 넌 어둠 속에 숨은 듯 나를 더 빠지게 해 너만 부르게 해 마주친 그 눈빛은 너 말곤 아무것도 모르게 해 빠져나올 수 없어 끝이 없는 어둠 속 알 수 없는 어딘가 maybe i'm in your maze lost my way 네 안의 미로에 갇혀 maybe i'm in your maze lost my way 너만의 미로에 갇혀 나 maybe i'm in your maze 멀리서 날 부르는 아름다운 기타 소리 귓가에 스며들어 doo doo doo doo doo yeah 날 향한 네 손짓이 내 마음을 간지럽혀 꿈속의 나비처럼 maybe it's a maze i'm in maze 이 곳의 매일은 전혀 궁금하지 않게 해 바깥의 내일을 어둠이 덮인 미로 속에 갇혔지 난 아니 어쩌면 나갈 생각이 없지 빠져나올 수 없어 끝이 없는 어둠 속 알 수 없는 어딘가 maybe i'm in your maze lost my way 네 안의 미로에 갇혀 maybe i'm in your maze lost my way 너만의 미로에 갇혀 나 maybe i'm in your maze 너에게만 예뻐 보이고 싶어 나를 찾아오는 널 보고 싶어 또다시 난 이 미로 속에서 소리쳐 널 부르고 있어 now you're in my maze 내 안의 미로에 갇혀 now you're in my maze 나만의 미로에 갇혀 너 now you're in my maze 내 안의 미로에 나만의 미로에 갇혀 너 now you're in my maze
3,(여자)아이들,I am,2018-05-02,DON'T TEXT ME,False,M 1,4,"빅싼초(Yummy Tone),박해일(Yummy Tone),재리포터(Yummy Tone),소연((여자)아이들)","빅싼초(Yummy Tone),박해일(Yummy Tone),재리포터(Yummy Tone)","빅싼초(Yummy Tone),박해일(Yummy Tone)",113.0,C#M,3B,,오늘따라 이상하리만큼 잠이 오지 않아 괜히 뒤척여 익숙한 듯 어떻게 연락해 어이없게 아무렇지도 않게 인사해 잘 지내 내겐 다시는 없을 것 같던 관계가 넌 가벼웠던 건지 지친 한숨과 뱉었던 끝이었던 걸 네가 모르는 건지 네 연락에 난 좀 화가 나 생각보다 나도 너를 더 몰랐나 봐 근데 더 이상 알고 싶지도 않아 난 우리 시간은 다 그때 그곳에서 멈췄으니까 별다를 것 없지 남이 된 너와 나 이제는 모든 게 변했어 그때로 멈췄지 그대로 우리는 don't text me oh never 대답하고 싶지 않아 이제 와 내게 뭘 바라는 건지 너의 마음 난 알고 싶지 않아 지워줘 나도 내 번호도 좋은 기억 남았을 때 그만 미련 따위 goodbye 네가 없던 나로 돌아가 연락하지 마 goodbye 그때 우리 좋았었다는 말 다 지난 일이잖아 그냥 이렇게 너랑 나로 살아가 늦은 밤 뜬금없는 message 내가 뭐 하는진 왜 궁금해 있을 때나 잘하지 내가 그렇게 쉽니 이제 그만 깨어나 꿈속에서 별다를 것 없지 남이 된 너와 나 이제는 모든 게 변했어 그때로 멈췄지 그대로 우리는 don't text me oh never 대답하고 싶지 않아 이제와 내게 뭘 바라는 건지 너의 마음 난 알고 싶지 않아 지워줘 나도 내 번호도 좋은 기억 남았을 때 그만 미련 따위 goodbye 네가 없던 나로 돌아가 연락하지 마 goodbye 그때 우리 좋았었다는 말 다 지난 일이잖아 그냥 이렇게 너랑 나로 살아가 나도 좋았어 너의 눈동자 속에 오직 나만 살았을 때 까진 말이야 힘들었던 얘기가 가볍게 꺼내지는 걸 보니 이제 진짜 널 다 잊었나 봐 아팠어도 왠지 지우고는 싶지 않은 기억이라 못됐었던 너도 밉지 않아 그러니까 답은 안 할게 아름다웠던 추억으로 날 지나가줘 oh never 대답하고 싶지 않아 이제와 내게 뭘 바라는 건지 너의 마음 난 알고 싶지 않아 지워줘 나도 내 번호도 좋은 기억 남았을 때 그만 미련 따위 goodbye 네가 없던 나로 돌아가 연락하지 마 goodbye 그때 우리 좋았었다는 말 다 지난 일이잖아 그냥 이렇게 너랑 나로 살아가
4,(여자)아이들,I am,2018-05-02,알고 싶어,False,M 1,5,"ARIN,VINCENZO,Fuxxy,Any Maingga,소연((여자)아이들)","ARIN,VINCENZO,Fuxxy,Any Maingga","VINCENZO,Any Maingga",122.0,C#m,12A,,what's in your house? what's in your house? 알고 싶어 what's in your house? what's in your house? i'm in love what's in your house? what's in your house? 알고 싶어 what's in your house? what's in your house? oh oh oh oh oh 날 설레게 하는 너의 fragrance 욕실엔 새로 사놓은 hand soap 아무렇게나 놓인 red blanket 그 속엔 귀여운 little puppy 난 아직 키가 닿지 않아 창문 너머로는 볼 수 없어 눈부신 유니콘 내게 와준다면 매일 밤 네게 날아가 버릴 텐데 yeah it's a fascination 빠져나올 수가 없는 like a fantasy 영원히 살고 싶어 난 알고 싶은 걸 하나하나까지 baby you are oh deep inside my heart what's in your house? what's in your house? 알고 싶어 what's in your house? what's in your house? i'm in love what's in your house? what's in your house? 알고 싶어 what's in your house? what's in your house? oh oh oh oh oh 따뜻한 넌 나만의 sunshine 널 감싸는 내 마음은 moonlight 더는 감추지 마 네 warm heart 그곳에 숨겨둔 golden key 알고 싶어 너의 집 현관부터 방까지 정돈된 네 침대 위는 어떤 향기가 날지 잠이 든 네 얼굴은 무슨 표정을 할지 요즘 무척 난 궁금하단 말이야 (궁금해) 이 정도 말하면 알아듣겠지 너와는 영원히 하나이고 싶어 일분도 떨어지긴 싫어 널 누구보다 잘 알고 싶어 yeah it's a fascination 빠져나올 수가 없는 like a fantasy 영원히 살고 싶어 난 알고 싶은 걸 하나하나까지 baby you are oh deep inside my heart what's in your house? what's in your house? 알고 싶어 what's in your house? what's in your house? i'm in love what's in your house? what's in your house? 알고 싶어 what's in your house? what's in your house? oh oh oh oh oh 애타는 내 마음을 넌 모르잖아 boy i just wanna fall in love with you what's in your house? what's in your house? woo babe what's in your house? what's in your house? 난 알고 싶어 what's in your house? what's in your house? i'm in love what's in your house? what's in your house? yeah it's a fascination what's in your house? what's in your house? like a fantasy what's in your house? what's in your house? yeah it's a fascination what's in your house? what's in your house? like a fantasy what's in your house? what's in your house? oh oh oh oh oh
5,(여자)아이들,I am,2018-05-02,들어줘요,False,M 1,6,"손영진,노경민",손영진,손영진,130.0,EM,12B,,한마디 떼어내기 너무 힘들죠 난 여기 있는데 기다리는데 그대는 보이지 않죠 날 바라보던 그대의 차가운 눈빛이 난 너무 낯설게 느껴져요 더는 어쩔 수 없는 걸 알죠 어두워진 밤하늘이 참 나와 닮아서 내 마음과 같아서 흐려진 그대 마음을 잡을 순 없나요 가끔 한 번씩 그냥 내 얘기를 들어줘요 내 마음 속 깊이 간직했던 얘기를 들려주고 싶어요 좀 더 멀어져도 괜찮아요 날 밀어내도 괜찮아요 나 항상 제자리에서 바보처럼 그대를 보며 기다릴 수 있죠 얼룩진 그대가 너무 미웠죠 난 여기 있는데 소리치는데 그대는 들리지 않죠 날 감싸 안던 우리의 소중한 추억이 이제 끝이라는 게 느껴져요 다만 이렇게 끝내긴 싫어 떨어지는 저 별들이 참 시려 보여서 내 마음도 그래서 차가워진 그대 등을 돌릴 순 없겠죠 가끔 한 번씩 그냥 내 얘길 들어줘요 내 마음속 깊이 간직했던 얘길 들려주고 싶어요 좀 더 멀어져도 괜찮아요 날 밀어내도 괜찮아요 나 항상 제자리에서 바보처럼 그대를 보며 기다릴 수 있죠 그대 왜 나를 떠나가나요 진심이었던 적 있었나요 솔직하게 말해줘요 정말 우린 끝난 건가요 돌아갈 순 없나요 돌아와 줘요 항상 내 옆에 있어줘요 입 밖에 꺼내지 못했었던 너무도 하고 싶었던 말 좀 더 멀어지기 싫어요 난 날 밀어내지 말아줘요 나 기다릴 수 있어요 사랑해요 사랑해요 그대
6,(여자)아이들,한(一),2018-08-14,한,True,DS,1,소연((여자)아이들),"소연((여자)아이들),빅싼초(Yummy Tone)","소연((여자)아이들),빅싼초(Yummy Tone)",105.0,F#m,11A,,do you remember you remember remember what you said (said) 너는 내게 뭐든 줄 것처럼 말을 건넸다 (건넸다) don't you remember you remember remember what you said (said) 너는 마치 무슨 약을 먹은 마냥 변했다 드리워진 blue 내 흐려지는 눈 진짜 is this true 후회 안 하냐고 내 어제의 my boo boo boo lonely life 좋아 다 삼켜버린 물 난 식어버린 듯 i want you to be ruined 붙잡지 않아 끝 넌 어제의 my boo boo boo lonely life 잘 가 차갑게 나를 본다 남인 듯 돌아선다 난 멍하니 서있다 몰랐던 너를 봤다 그저 웃음만 나온다 난 이제 너를 몰라 (한) 널 잊으리라 woo woo woo 저리 가 오지 마 돌아보지도 말아 널 지워버리라 woo woo woo 저리 가 오지 마 돌아보지도 말아 do you remember you remember remember what you said (said) 나는 어떤 말도 못 해본 채 너를 보냈다 (보냈다) don't you remember you remember remember what you said (said) 나는 마치 무슨 약을 먹은 마냥 변했다 다 변했다 또 흔한 사랑처럼 뻔했다 굶주린 사자처럼 너는 날 너무 원했다 손짓과 건넨 말 거짓말이었다면 넌 세상 제일 못됐다 다 그런 거지 다 똑같지 엄마가 했던 말 전부 다 맞지 (맞지) 사랑은 까맣게 변했다 돌릴 수 없게 다 태웠다 오늘 난 (ah) 내 기억 속에서 널 없앴다 차갑게 나를 본다 남인 듯 돌아선다 난 멍하니 서있다 몰랐던 너를 봤다 그저 웃음만 나온다 난 이제 너를 몰라 (한) 널 잊으리라 woo woo woo 저리 가 오지 마 돌아보지도 말아 널 지워버리라 woo woo woo 저리 가 오지 마 돌아보지도 말아 멍든 내 마음의 흔적을 지우고 정든 네 눈에 내 마음을 비추죠 너무 차가워 깜짝 놀랄지 몰라 다시 내 앞에 돌아온다 해도 이젠 받아줄 자리가 없네요 끝이 난 거죠 난 이제 너를 몰라 널 잊으리라 woo woo woo 저리 가 오지 마 돌아보지도 말아 널 지워버리라 woo woo woo 저리 가 오지 마 돌아보지도 말아
7,(여자)아이들,I made,2019-02-26,Senorita,True,M 2,1,소연((여자)아이들),"소연((여자)아이들),빅싼초(Yummy Tone)","소연((여자)아이들),빅싼초(Yummy Tone)",120.0,CM,8B,,그대여 왜 그렇게 쳐다보나요 아무 말도 건네주지 않고 나의 눈을 피하지도 않고 그대여 왜 그렇게 가까이 와요 아직 우린 모르는 게 많죠 나 그댈 뭐라 불러야 하죠 조금 빠르게 어쩜 바쁘게 뭐든 i don’t care i don’t care i don’t care 뭔가 다르게 더 나쁘게 뭐든 i’m ok i’m ok i’m ok 나 어떡하죠 워어어워어어 워어어워어어 워어어워어어 이리 와 이리 와 이리 와 이리 와 워어어워어어 워어어워어어 워어어워어어 hey senor 다가와 줘요 내게로 안아줘 세게 더 알고 싶어 about you i fell in love with you 몰라요 it is true 그냥 love you so love you so love you so 불러줘요 나를 senorita senorita senorita senorita 그대여 왜 그렇게 웃고 있나요 자꾸 마음이 그대에게 가죠 나 그댈 어찌 보내야 하죠 그냥 넌 나에게만 집중해봐 남들 눈이 중요한가 가득 품에 안아줘 봐 이름 따위 몰라도 돼 갖고 싶다 말해 봐봐 사랑해봐 워어어워어어 워어어워어어 워어어워어어 hey senor 다가와 줘요 내게로 안아줘 세게 더 알고 싶어 about you i fell in love with you 몰라요 it is true 그냥 love you so love you so love you so 불러줘요 나를 senorita senorita senorita senorita 유후후후후후후후후 유후후후후후후후후 유후후후후후후후후 유후후후후후후후후 (senorita) 유후후후후후후후후 (senorita) 유후후후후후후후후 (senorita) 유후후후후후후후후 (senorita) 유후후후후후후후후 hey senor
8,(여자)아이들,I made,2019-02-26,What's Your Name,False,M 2,2,소연((여자)아이들),"소연((여자)아이들),이우민""collapsedone""","이우민""collapsedone""",105.0,Em,9A,,아픈 말 아픈 마음 모두 구름 가득 담아 내려봐 잊어봐 한밤의 꿈처럼 말이야 우리와 너 그 아름다웠던 단어들도 이제 다 없는 거야 모르는 거야 흐린 하루를 보낸 뒤엔 아픈 빗물이 다 거두어지면 작은 별들 사이까지 가볼까 you were my life you were like 나의 바다였었어 이젠 what's your name oh what's your name what's your name (let's forget it all) your name let's forget it all what's your name let's forget it all what's your name what's your name 더 더 더 더 세게 내리오 your name 더 더 더 더 빨리 내리오 what's your name 더 더 더 더 크게 내리어줘 내리어줘 내리어 지워가 지워가 너의 눈 비워가 비워가 너의 몸 이보다 이보다 더 멋진 더 멋진 더 멋진 남자도 많이 만날게 날 떠난 너보다 얄밉게 우중충한 까만색 생각은 바람처럼 지나칠게 하늘아 비 좀 그쳐 줘 눈앞이 자꾸 흐려서 뭘 못하겠어 어서 널 씻어 내리오 다 내리오 아픈 빗물이 다 거두어지면 작은 별들 사이까지 가볼까 you were my life you were like 나의 바다였었어 이젠 what's your name oh what's your name what's your name (let's forget it all) your name let's forget it all what's your name let's forget it all what's your name what's your name 더 더 더 더 세게 내리오 your name 더 더 더 더 빨리 내리오 what's your name 더 더 더 더 크게 내리어줘 내리어줘 내리어 지워가 지워가 너의 눈 비워가 비워가 너의 몸 이보다 이보다 더 멋진 더 멋진 (더 멋진) 행복했어 아름다웠어 지우기 싫을 만큼 사랑해서 널 보낼 수가 없어 널 잊을게 what's your name (let's forget it all) your name let's forget it all what's your name let's forget it all what's your name what's your name 더 더 더 더 세게 내리오 your name 더 더 더 더 빨리 내리오 what's your name 더 더 더 더 크게 내리어줘 내리어줘 내리어 지워가 지워가 너의 눈 비워가 비워가 너의 몸 이보다 이보다 더 멋진 더 멋진 (더 멋진)
9,(여자)아이들,I made,2019-02-26,싫다고 말해,False,M 2,3,소연((여자)아이들),소연((여자)아이들),"소연((여자)아이들),후디니",141.0,AbM,4B,,싫다고 말해 사랑하지 않는다고 말해 봐 내 마음이 떠날 거 같이 네가 미워질 거 같이 좋다고 말해 아니 사랑하고 있다고 말해줘 좋았던 그때와 같이 이제 사랑할 순 없니 네 눈빛은 대답을 건네고 미안한 듯 한숨만 내쉰다 그렇게 무너진다 난 무너진다 너와의 시간은 멈추고 그렸던 미래가 안 보인다 꿈처럼 부서진다 다 부서진다 어두워지고 심장은 멍들고 눈물이 번진 날 본다면 넌 멀어질까? 날 멀어질까? 사랑했었던 네 마음을 채웠던 난 지금 죽을 거 같은데 넌 멀어질까? 날 멀어질까 아파아이야 아이야 아파아이야 아이야 아파아이야 아이야 아파아이야 아이야 싫다고 말해 그냥 솔직히 전부 말해줘 그니까 변한 거 맞지 내가 싫어진 거잖아 설렜던 시작은 어디로 내 발밑엔 눈물만 남는다 모든 게 무너진다 난 무너진다 지나간 추억을 머금고 알면서도 또 네게 묻는다 이렇게 끝인 걸까 우린 끝인 건가 어두워지고 심장은 멍들고 눈물이 번진 날 본다면 넌 멀어질까? 날 멀어질까? 사랑했었던 네 마음을 채웠던 난 지금 죽을 거 같은데 넌 멀어질까? 날 멀어질까 아파아이야 아이야 아파아이야 아이야 아파아이야 아이야 아파아이야 아이야 싫다고 말해 사랑하지 않는다고 말해 봐 내 마음이 떠날 거 같이 네가 미워질 거 같이 좋다고 말해 아니 사랑하고 있다고 말해줘 좋았던 그때와 같이 이제 사랑할 순 없니
